,gameId,polarity_1,subjectivity_1,polarity_2,subjectivity_2,polarity_4,subjectivity_4,polarity_8,subjectivity_8
53964,serge-gnabry_2023-12-09,0.00549995755878109,0.5290738488091432,-0.024019901268176783,0.5475025156356352,0.036520118981135975,0.5219231015469518,0.0728639224781059,0.5248544220803338
309197,reiss-nelson_2023-12-09,0.1383915353459005,0.5043276045921549,0.12358892215668443,0.5094206423427727,0.11752135245263712,0.5140596263387063,0.08965435507738242,0.5038592616831696
548225,samuel-chimerenka-chukwueze_2023-12-09,0.23941884023660528,0.5334474402409185,0.142674445704856,0.5276629236638296,0.13035046799169003,0.514984731288003,0.08598950154332265,0.5179110981591756
797595,moses-daddy-simon_2023-12-09,-0.1344296788482836,0.5632851913375175,-0.11024357277612709,0.5404204022129355,-0.11039423869986902,0.5264384184124014,-0.14161365549185134,0.5410146217283891
536843,jens-petter-hauge_2023-12-09,-0.00549995755878109,0.5290738488091432,0.024019901268176783,0.5475025156356352,-0.036520118981135975,0.5219231015469518,-0.0728639224781059,0.5248544220803338
9557,marcus-thuram_2023-12-09,0.2702587585034013,0.5681659863945577,0.1672099811742566,0.538554296691571,0.1114720807220089,0.5286399399636548,0.11242984262755934,0.5345645994510632
840511,jordan-ayew_2023-12-09,-0.0451455648867658,0.49261632394137617,-0.03257819369879416,0.48452769496294823,-0.07408528092190948,0.5016512583949639,-0.08430167317905918,0.4910258859622362
8631,darwin-gabriel-nunez-ribeiro_2023-12-09,0.0451455648867658,0.49261632394137617,0.03257819369879416,0.48452769496294823,0.07408528092190948,0.5016512583949639,0.08430167317905918,0.4910258859622362
44549,jamie-jermaine-bynoe-gittens_2023-12-09,-0.08250915750915751,0.3767399267399268,0.20874542124542125,0.43836996336996337,0.15313170331886303,0.45480753995953627,0.24682479354589582,0.4719480403270093
228905,jean-eric-maxim-choupo-moting_2023-12-09,0.00549995755878109,0.5290738488091432,-0.024019901268176783,0.5475025156356352,0.036520118981135975,0.5219231015469518,0.0728639224781059,0.5248544220803338
62,karim-adeyemi_2023-12-09,-0.08250915750915751,0.3767399267399268,0.20874542124542125,0.43836996336996337,0.15313170331886303,0.45480753995953627,0.24682479354589582,0.4719480403270093
432420,rodrygo-silva-de-goes_2023-12-09,0.0502872701838529,0.5698041566746603,0.13984767969888362,0.5894312290679373,0.1475661477930859,0.5605261913575218,0.08326202192889028,0.5455600020547322
298988,yussuf-yurary-poulsen_2023-12-09,0.08250915750915751,0.3767399267399268,-0.20874542124542125,0.43836996336996337,-0.15313170331886303,0.45480753995953627,-0.24682479354589582,0.4719480403270093
705912,leon-bailey-butler_2023-12-09,0.17175586962057537,0.5376881928528995,0.0748085693797497,0.5085853298734355,0.09268265689125058,0.5182647997738383,0.10190799903613842,0.5271542361130187
