,gameId,polarity_1,subjectivity_1,polarity_2,subjectivity_2,polarity_4,subjectivity_4,polarity_8,subjectivity_8
58494,samuele-birindelli_2023-01-07,-0.04222186310421604,0.5531760396466281,-0.026687940952192513,0.5505137244524407,-0.05526367007020721,0.5382713416755145,-0.05550262840315287,0.5286383896538739
210016,pablo-mari-villar_2023-01-07,-0.04222186310421604,0.5531760396466281,-0.026687940952192513,0.5505137244524407,-0.05526367007020721,0.5382713416755145,-0.05550262840315287,0.5286383896538739
766092,kingsley-ehizibue_2023-01-07,-0.1811720263863122,0.5417062117776408,-0.16611045491428902,0.549800584880417,-0.11988598028473199,0.5317345886310768,-0.1060318589853802,0.5256752614711004
18021,enzo-ebosse_2023-01-07,-0.1811720263863122,0.5417062117776408,-0.16611045491428902,0.549800584880417,-0.11988598028473199,0.5317345886310768,-0.1060318589853802,0.5256752614711004
426289,cedric-hountondji_2023-01-11,-0.06952393392048561,0.4980700033409395,-0.0775768652820856,0.5136814173261447,-0.08804100763638886,0.5313070858424515,-0.10859740837824863,0.5204555083437838
445201,souleyman-doumbia_2023-01-11,-0.06952393392048561,0.4980700033409395,-0.0775768652820856,0.5136814173261447,-0.08804100763638886,0.5313070858424515,-0.10859740837824863,0.5204555083437838
31198,abdoulaye-bamba_2023-01-11,-0.06952393392048561,0.4980700033409395,-0.0775768652820856,0.5136814173261447,-0.08804100763638886,0.5313070858424515,-0.10859740837824863,0.5204555083437838
89023,kalidou-koulibaly_2023-01-12,0.13581363712045527,0.5724619198788786,0.13794353946926602,0.534074713110446,0.11134445448629124,0.512035592235356,0.10848587784668567,0.5100333976367991
101302,tim-ream_2023-01-12,-0.13581363712045527,0.5724619198788786,-0.13794353946926602,0.534074713110446,-0.11134445448629124,0.512035592235356,-0.10848587784668567,0.5100333976367991
129731,kenny-tete_2023-01-12,-0.13581363712045527,0.5724619198788786,-0.13794353946926602,0.534074713110446,-0.11134445448629124,0.512035592235356,-0.10848587784668567,0.5100333976367991
375761,antonee-robinson_2023-01-12,-0.13581363712045527,0.5724619198788786,-0.13794353946926602,0.534074713110446,-0.11134445448629124,0.512035592235356,-0.10848587784668567,0.5100333976367991
755578,oluwatosin-adarabioyo_2023-01-12,-0.13581363712045527,0.5724619198788786,-0.13794353946926602,0.534074713110446,-0.11134445448629124,0.512035592235356,-0.10848587784668567,0.5100333976367991
752272,ashley-young_2023-01-13,0.09395292207792208,0.5000117243867243,0.08606044631128712,0.507610415089395,0.101820985421061,0.5115581114694766,0.07389084590907864,0.5207009240368676
130306,antonino-gallo_2023-01-14,-0.06507446752982464,0.5392310814185818,-0.0869754924017004,0.5533314604105047,-0.12873769573118204,0.5261524891945625,-0.1101428991982888,0.5261429548011416
486001,duje-caleta-car_2023-01-14,0.0014200209512709523,0.5013016497391495,-0.001231315944857611,0.4989752627773461,0.006167947808676974,0.5096500183235599,-0.019154120213404815,0.5140424765467628
543776,giangiacomo-magnani_2023-01-14,-0.024969831511839697,0.565364190302715,-0.033595847308027865,0.5592701149746715,-0.03541902325188033,0.5499470594392585,-0.05301692954770503,0.5314642690510162
588625,hugo-bueno_2023-01-14,-0.04846860590139221,0.5398698678726612,-0.021333256478952907,0.526769046431304,-0.04203173810529022,0.5159620940078045,-0.04194175825966751,0.5108784586658612
340677,mohamed-salisu-abdul-karim_2023-01-14,0.0014200209512709523,0.5013016497391495,-0.001231315944857611,0.4989752627773461,0.006167947808676974,0.5096500183235599,-0.019154120213404815,0.5140424765467628
218036,fabio-depaoli_2023-01-14,-0.024969831511839697,0.565364190302715,-0.033595847308027865,0.5592701149746715,-0.03541902325188033,0.5499470594392585,-0.05301692954770503,0.5314642690510162
495390,federico-baschirotto_2023-01-14,-0.06507446752982464,0.5392310814185818,-0.0869754924017004,0.5533314604105047,-0.12873769573118204,0.5261524891945625,-0.1101428991982888,0.5261429548011416
100006,max-kilman_2023-01-14,-0.04846860590139221,0.5398698678726612,-0.021333256478952907,0.526769046431304,-0.04203173810529022,0.5159620940078045,-0.04194175825966751,0.5108784586658612
700464,romain-perraud_2023-01-14,0.0014200209512709523,0.5013016497391495,-0.001231315944857611,0.4989752627773461,0.006167947808676974,0.5096500183235599,-0.019154120213404815,0.5140424765467628
161579,giuseppe-pezzella_2023-01-14,-0.06507446752982464,0.5392310814185818,-0.0869754924017004,0.5533314604105047,-0.12873769573118204,0.5261524891945625,-0.1101428991982888,0.5261429548011416
813689,seamus-coleman_2023-01-14,-0.0014200209512709523,0.5013016497391495,0.001231315944857611,0.4989752627773461,-0.006167947808676974,0.5096500183235599,0.019154120213404815,0.5140424765467628
716408,ben-godfrey_2023-01-14,-0.0014200209512709523,0.5013016497391495,0.001231315944857611,0.4989752627773461,-0.006167947808676974,0.5096500183235599,0.019154120213404815,0.5140424765467628
732735,james-tarkowski_2023-01-14,-0.0014200209512709523,0.5013016497391495,0.001231315944857611,0.4989752627773461,-0.006167947808676974,0.5096500183235599,0.019154120213404815,0.5140424765467628
840695,federico-ceccherini_2023-01-14,-0.024969831511839697,0.565364190302715,-0.033595847308027865,0.5592701149746715,-0.03541902325188033,0.5499470594392585,-0.05301692954770503,0.5314642690510162
673558,tyrick-mitchell_2023-01-15,-0.13581363712045527,0.5724619198788786,-0.13794353946926602,0.534074713110446,-0.11134445448629124,0.512035592235356,-0.10848587784668567,0.5100333976367991
675355,sergio-akieme-rodriguez_2023-01-15,-0.01281658988493521,0.5543735790588306,-0.04540652361766257,0.5411447546812007,-0.053680307416736295,0.5274231583394934,-0.057495917354129525,0.5224348098749052
161015,felipe-augusto-de-almeida-monteiro_2023-01-15,0.01281658988493521,0.5543735790588306,0.04540652361766257,0.5411447546812007,0.053680307416736295,0.5274231583394934,0.057495917354129525,0.5224348098749052
156657,juan-brandariz-movilla_2023-01-15,-0.01281658988493521,0.5543735790588306,-0.04540652361766257,0.5411447546812007,-0.053680307416736295,0.5274231583394934,-0.057495917354129525,0.5224348098749052
549099,nathaniel-edwin-clyne_2023-01-15,-0.13581363712045527,0.5724619198788786,-0.13794353946926602,0.534074713110446,-0.11134445448629124,0.512035592235356,-0.10848587784668567,0.5100333976367991
830944,alejandro-pozo-pozo_2023-01-15,-0.01281658988493521,0.5543735790588306,-0.04540652361766257,0.5411447546812007,-0.053680307416736295,0.5274231583394934,-0.057495917354129525,0.5224348098749052
