gameId,polarity_1,subjectivity_1,polarity_2,subjectivity_2,polarity_4,subjectivity_4,polarity_8,subjectivity_8,polarity_16,subjectivity_16,totalScore
agustin-federico-marchesin_2022-10-09,-0.14243020213639448,0.5374252660257264,-0.10850330520122904,0.5365945518602995,-0.13169090401203104,0.5464873225128521,-0.13510892667026642,0.5363943029878105,-0.11946155764647212,0.5328339226902968,51.4
oliver-baumann_2022-10-22,-0.034424030591878554,0.5273525262442791,-0.019467143824220344,0.522071431150666,-0.05301142303637022,0.539756428086376,-0.06739128109977027,0.5297720840271662,-0.06013521541398669,0.5297244064094372,65.4
robin-zentner_2022-10-29,-0.034424030591878554,0.5273525262442791,-0.019467143824220344,0.522071431150666,-0.05301142303637022,0.539756428086376,-0.06739128109977027,0.5297720840271662,-0.06013521541398669,0.5297244064094372,43.7
manuel-riemann_2022-11-05,-0.1542149336171075,0.552305538664234,-0.09056232791966486,0.5666785629829107,-0.1028256360734793,0.5925330226208761,-0.13501769100275562,0.5360002562874853,-0.11424801919974523,0.47373745256941946,3.3
benjamin-lecomte_2022-11-06,-0.04586161491764939,0.5277396884724471,-0.027655494876835978,0.5331315491979288,-0.04237348233335049,0.5352530143182859,-0.04404368367195996,0.5280416671680614,-0.04390578056985483,0.5194203406194797,70.1
jan-jakob-olschowsky_2022-11-11,-0.1542149336171075,0.552305538664234,-0.09056232791966486,0.5666785629829107,-0.1028256360734793,0.5925330226208761,-0.13501769100275562,0.5360002562874853,-0.11424801919974523,0.47373745256941946,66.1
alexander-schwolow_2022-11-12,-0.034424030591878554,0.5273525262442791,-0.019467143824220344,0.522071431150666,-0.05301142303637022,0.539756428086376,-0.06739128109977027,0.5297720840271662,-0.06013521541398669,0.5297244064094372,50.6
hugo-lloris_2023-01-01,-0.00261054695895122,0.5078792867888613,0.020058822572524733,0.5339654561256126,0.01986225952354738,0.5226343776440086,0.07581958578197229,0.5300084742844039,0.0873753085490809,0.525511825900715,14.5
vicente-guaita-panadero_2023-01-04,-0.06170661448145381,0.48207149825119766,-0.029548033761251292,0.4949753925200295,-0.01865872935017405,0.516567502806841,-0.06224100114135688,0.52234403393925,-0.08566406227790577,0.5226158040574139,3.4
hugo-lloris_2023-01-04,0.06170661448145381,0.48207149825119766,0.029548033761251292,0.4949753925200295,0.01865872935017405,0.516567502806841,0.06224100114135688,0.52234403393925,0.08566406227790577,0.5226158040574139,84.7
michele-di-gregorio_2023-01-07,-0.07587044097656861,0.5463631365287988,-0.09885278519389609,0.5554229748420891,-0.060389719164052655,0.554820395341412,-0.05106623653125878,0.5378855575972452,-0.04679666226683695,0.5333783392778587,30.9
marco-silvestri_2023-01-07,-0.12281371038979354,0.547620555357832,-0.13674103229214846,0.5490477548089164,-0.11599954647642452,0.5423995766476141,-0.07870454488881819,0.5359774721228387,-0.06525129965455598,0.5314656325437161,46.5
paul-bernardoni_2023-01-11,-0.05694887982387983,0.4883892470302732,-0.07087520627202593,0.5074840683253188,-0.05943336017651383,0.5109898857455261,-0.08315543162480374,0.5249831575858238,-0.09422628373059588,0.5278828916791851,48.2
bernd-leno_2023-01-12,-0.13397509750975095,0.5550620853294124,-0.13811787775018797,0.5261968916955391,-0.12402609940428824,0.5223019095137366,-0.09649853036534785,0.5142704075223995,-0.1100422789144996,0.5235834130738222,63.2
wladimiro-falcone_2023-01-14,-0.05053117672925376,0.5464574250535787,-0.09613418417096149,0.5517358696911516,-0.0942589665791842,0.5311568012759864,-0.08791941791664504,0.5234102853663428,-0.08791941791664504,0.5234102853663428,21.4
lorenzo-montipo_2023-01-14,-0.02011087973329351,0.5673526247698663,-0.04799066035493106,0.5568578806493325,-0.0545132250416517,0.5597376161425062,-0.048902921516287765,0.5447733328570288,-0.045128800858490484,0.5355017321211092,46.2
robert-lynch-sanchez_2023-01-14,-0.19690183262385436,0.5274742034940593,-0.17711984722740193,0.518104741915361,-0.13364627490940928,0.522422963191963,-0.15538201990769918,0.537357190471971,-0.13707953284156427,0.5285448299105904,69.3
hugo-lloris_2023-01-15,0.06170661448145381,0.48207149825119766,0.029548033761251292,0.4949753925200295,0.01865872935017405,0.516567502806841,0.06224100114135688,0.52234403393925,0.08566406227790577,0.5226158040574139,26.5
vicente-guaita-panadero_2023-01-15,-0.13397509750975095,0.5550620853294124,-0.13811787775018797,0.5261968916955391,-0.12402609940428824,0.5223019095137366,-0.09649853036534785,0.5142704075223995,-0.1100422789144996,0.5235834130738222,44.9
bernd-leno_2023-01-15,-0.10462660329269335,0.4872498131552389,-0.064839156791062,0.5042381673372908,-0.03855876454936562,0.5071093388724843,-0.04910595114845533,0.524337292321373,-0.04076886747464631,0.5280447273676252,48.6
fernando-martinez-rubio_2023-01-15,0.0076157424068087004,0.5381153132810192,-0.05599344974310807,0.5305475683328862,-0.059538545911373045,0.5282655407547111,-0.050956014122361774,0.5317592775364985,-0.0471670299294371,0.5221478952806939,57.4
vicente-guaita-panadero_2023-01-21,-0.07972135582784733,0.5172312229179183,-0.09217397956027035,0.5022405180365787,-0.06482794767720286,0.5039499804563722,-0.0572835744437796,0.5233287077783424,-0.046945191184125115,0.5272150533265965,84.7
jordi-masip-lopez_2023-01-21,-0.0496964788024914,0.5423474231464739,-0.02104036819784135,0.5402313682137465,-0.0508378787615325,0.5394226401222045,-0.0473512204749519,0.5339008283300888,-0.04848762810954159,0.5238960655303335,25.7
