,gameId,polarity_1,subjectivity_1,polarity_2,subjectivity_2,polarity_4,subjectivity_4,polarity_8,subjectivity_8
332258,nicolas-dominguez_2023-05-14,-0.13158223825384385,0.5659931675125641,-0.08748114437944719,0.5353085850719599,-0.05393959428067277,0.5432233561883769,-0.08116109447423592,0.5247066391521098
543256,sergi-darder-moll_2023-05-14,-0.06613080808080811,0.506467243867244,-0.11055272171687766,0.497843941833797,-0.10489621356660109,0.5145051042121396,-0.11424956558179652,0.5203902931034731
310925,thomas-lemar_2023-05-14,0.10124275474694677,0.5467279502340477,0.12352242098968383,0.5631842994251302,0.09681072261466653,0.550087407348448,0.08588697895177577,0.5437959904336791
600343,thomas-teye-partey_2023-05-14,0.08906110981294342,0.518761597001206,0.062031546442550975,0.48379239567535814,0.09982904110722993,0.4978459433286084,0.11768042541439937,0.5018876918123618
544168,nemanja-matic_2023-05-14,0.13158223825384385,0.5659931675125641,0.08748114437944719,0.5353085850719599,0.05393959428067277,0.5432233561883769,0.08116109447423592,0.5247066391521098
252094,james-garner_2023-05-14,0.08980704184704184,0.4811182683982689,0.04191203463203463,0.4944706782106786,0.01325648115456709,0.5146079430404434,0.0014300024166356458,0.52145517408807
735972,frenkie-de-jong_2023-05-14,0.06613080808080811,0.506467243867244,0.11055272171687766,0.497843941833797,0.10489621356660109,0.5145051042121396,0.11424956558179652,0.5203902931034731
544072,kalvin-phillips_2023-05-14,0.14761052691090015,0.5712283819000241,0.08126784626959538,0.5624293258901469,0.09914790328353976,0.554070236436083,0.12660021781756903,0.5478933148792935
321423,gnaly-maxwell-cornet_2023-05-14,-0.05585806960198915,0.5631047219726463,0.06261123652017161,0.552105194516429,0.0672591870463307,0.5148057921280487,0.06065208906107543,0.519481480999699
768569,vitaly-janelt_2023-05-14,0.05585806960198915,0.5631047219726463,-0.06261123652017161,0.552105194516429,-0.0672591870463307,0.5148057921280487,-0.06065208906107543,0.519481480999699
